[18, 227, 59, 227, 20, 224, 0]
[114, 176, 36, 181, 250, 29, 210]
[20, 218, 59, 230, 20, 205, 0]
[116, 244, 37, 222, 250, 156, 209]
[23, 221, 59, 236, 20, 221, 0]
[119, 88, 37, 84, 251, 144, 209]
[17, 209, 59, 235, 20, 221, 0]
[113, 164, 37, 247, 249, 10, 210]
[18, 209, 59, 234, 20, 216, 0]
[114, 224, 36, 52, 252, 55, 209]
[20, 222, 59, 228, 20, 207, 0]
[116, 22, 38, 97, 249, 108, 210]
[23, 212, 59, 233, 20, 223, 0]
[119, 163, 36, 220, 252, 10, 209]
[17, 211, 59, 230, 20, 208, 0]
[113, 38, 38, 77, 249, 160, 210]
[18, 221, 59, 234, 20, 217, 0]
[114, 230, 36, 140, 252, 235, 208]
[20, 229, 59, 228, 20, 215, 0]
[116, 255, 37, 112, 249, 126, 210]
[23, 208, 59, 240, 20, 208, 0]
[119, 254, 36, 244, 251, 61, 209]
[17, 226, 59, 236, 20, 208, 0]
[113, 178, 37, 53, 250, 35, 210]
[18, 207, 59, 214, 20, 208, 0]
[114, 147, 37, 222, 250, 147, 209]
[20, 225, 59, 222, 20, 216, 0]
[116, 114, 37, 59, 251, 159, 209]
[23, 220, 59, 234, 20, 217, 0]
[119, 218, 37, 248, 249, 6, 210]
[17, 220, 59, 237, 20, 223, 0]
[113, 14, 37, 48, 252, 43, 209]
[18, 217, 59, 227, 20, 212, 0]
[114, 11, 38, 95, 249, 119, 210]
[20, 218, 59, 255, 20, 220, 0]
[116, 130, 36, 195, 252, 11, 209]
[23, 210, 59, 240, 20, 207, 0]
[119, 38, 38, 79, 249, 170, 210]
[17, 219, 59, 253, 20, 228, 0]
[113, 179, 36, 166, 252, 231, 208]
[18, 208, 59, 226, 20, 212, 0]
[114, 0, 38, 109, 249, 132, 210]
[20, 219, 59, 234, 20, 217, 0]
[116, 35, 37, 247, 251, 55, 209]
[23, 217, 59, 219, 20, 206, 0]
[119, 228, 37, 67, 250, 10, 210]
[17, 212, 59, 247, 20, 213, 0]
[113, 113, 37, 180, 252, 60, 209]
[18, 211, 59, 238, 20, 214, 0]
[114, 46, 38, 91, 249, 114, 210]
[20, 209, 59, 243, 20, 214, 0]
[116, 162, 36, 192, 252, 6, 209]
[23, 224, 59, 233, 20, 218, 0]
[119, 39, 38, 69, 249, 149, 210]
[17, 214, 59, 243, 20, 209, 0]
[113, 180, 36, 182, 252, 252, 208]
[18, 221, 59, 231, 20, 213, 0]
[114, 254, 37, 142, 249, 144, 210]
[20, 205, 59, 230, 20, 208, 0]
[116, 223, 36, 252, 251, 67, 209]
[23, 226, 59, 244, 20, 228, 0]
[119, 203, 37, 41, 250, 24, 210]
[17, 228, 59, 227, 20, 203, 0]
[113, 126, 37, 254, 250, 143, 209]
[18, 236, 59, 227, 20, 207, 0]
[114, 86, 37, 40, 251, 167, 209]
[20, 206, 59, 221, 20, 213, 0]
[116, 215, 37, 255, 249, 10, 210]
[23, 223, 59, 233, 20, 219, 0]
[119, 230, 36, 9, 252, 43, 209]
[17, 216, 59, 232, 20, 209, 0]
[113, 227, 37, 95, 249, 85, 210]
[18, 224, 59, 250, 20, 199, 0]
[114, 200, 36, 203, 252, 245, 208]
[20, 218, 59, 239, 20, 221, 0]
[116, 42, 38, 61, 249, 156, 210]
[23, 222, 59, 236, 20, 214, 0]
[119, 171, 36, 218, 252, 3, 209]
[17, 218, 59, 232, 20, 214, 0]
[113, 244, 37, 120, 249, 139, 210]
[18, 225, 59, 244, 20, 215, 0]
[114, 255, 36, 22, 252, 40, 209]
[20, 212, 59, 236, 20, 211, 0]
[116, 157, 37, 17, 250, 49, 210]
[23, 219, 59, 8, 21, 211, 0]
[119, 116, 37, 7, 251, 152, 209]
[17, 226, 59, 233, 20, 213, 0]
[113, 120, 37, 8, 251, 183, 209]
[18, 212, 59, 229, 20, 220, 0]
[114, 191, 37, 30, 250, 4, 209]
[20, 219, 59, 245, 20, 218, 0]
[116, 236, 36, 254, 251, 159, 210]
[23, 211, 59, 234, 20, 208, 0]
[119, 1, 38, 151, 253, 253, 208]
[17, 213, 59, 224, 20, 212, 0]
[113, 172, 38, 104, 249, 132, 210]
[18, 215, 59, 236, 20, 211, 0]
[114, 241, 36, 36, 252, 21, 209]
[20, 224, 59, 228, 20, 217, 0]
[116, 158, 37, 240, 249, 58, 210]
[23, 216, 59, 227, 20, 206, 0]
[119, 97, 37, 22, 251, 134, 209]
[17, 219, 59, 252, 20, 226, 0]
[113, 124, 37, 16, 251, 196, 209]
[18, 211, 59, 223, 20, 207, 0]
[114, 221, 37, 65, 250, 232, 209]
[20, 205, 59, 248, 20, 205, 0]
[116, 45, 37, 245, 251, 78, 209]
[23, 219, 59, 221, 20, 215, 0]
[119, 10, 38, 130, 249, 76, 210]
[17, 213, 59, 234, 20, 210, 0]
[113, 170, 36, 190, 252, 16, 209]
[18, 209, 59, 219, 20, 205, 0]
[114, 9, 38, 74, 249, 161, 210]
[20, 221, 59, 231, 20, 214, 0]
[116, 165, 36, 200, 252, 237, 208]
[23, 208, 59, 224, 20, 210, 0]
[119, 53, 38, 89, 249, 166, 210]
[17, 221, 59, 246, 20, 216, 0]
[113, 247, 36, 62, 252, 17, 209]
[18, 224, 59, 246, 20, 229, 0]
[114, 216, 37, 227, 249, 75, 210]
[20, 230, 59, 226, 20, 216, 0]
[116, 113, 37, 68, 251, 116, 209]
[23, 224, 59, 236, 20, 217, 0]
[119, 119, 37, 225, 250, 233, 209]
[17, 229, 59, 240, 20, 220, 0]
[113, 189, 37, 50, 250, 241, 209]
[18, 221, 59, 229, 20, 213, 0]
[114, 18, 37, 180, 251, 82, 209]
[20, 221, 59, 238, 20, 209, 0]
[116, 18, 38, 157, 249, 72, 210]
[23, 227, 59, 252, 20, 203, 0]
[119, 191, 36, 162, 252, 1, 209]
[17, 226, 59, 233, 20, 197, 0]
[113, 36, 38, 85, 249, 158, 209]
[18, 215, 59, 226, 20, 205, 0]
[114, 182, 36, 232, 252, 82, 210]
[20, 211, 59, 235, 20, 198, 0]
[116, 39, 38, 83, 251, 68, 209]
[23, 226, 59, 244, 20, 224, 0]
[119, 206, 37, 189, 250, 237, 209]
[17, 229, 59, 232, 20, 209, 0]
[113, 195, 37, 78, 250, 221, 209]
[18, 212, 59, 248, 20, 220, 0]
[114, 28, 37, 189, 251, 85, 209]
[20, 211, 59, 233, 20, 212, 0]
[116, 254, 37, 154, 249, 58, 210]
[23, 216, 59, 235, 20, 221, 0]
[119, 206, 36, 139, 252, 15, 209]
[17, 216, 59, 221, 20, 213, 0]
[113, 17, 38, 51, 249, 168, 210]
[18, 236, 59, 254, 20, 220, 0]
[114, 202, 36, 196, 252, 7, 209]
[20, 210, 59, 240, 20, 211, 0]
[116, 31, 38, 84, 249, 152, 210]
[23, 227, 59, 238, 20, 207, 0]
[119, 230, 36, 100, 252, 24, 209]
[17, 215, 59, 230, 20, 219, 0]
[113, 203, 37, 182, 249, 121, 210]
[18, 219, 59, 247, 20, 221, 0]
[114, 73, 37, 112, 251, 86, 209]
[20, 227, 59, 237, 20, 207, 0]
[116, 128, 37, 179, 250, 215, 209]
[23, 220, 59, 251, 20, 219, 0]
[119, 196, 37, 107, 250, 195, 209]
[17, 224, 59, 239, 20, 208, 0]
[113, 49, 37, 167, 251, 115, 209]
[18, 213, 59, 236, 20, 198, 0]
[114, 248, 37, 177, 249, 38, 210]
[20, 231, 59, 244, 20, 210, 0]
